survey_id;account_id;account_text;;;;;;;;;;;;;;;;;;;;;
1;1;Visualization technologies such as virtual reality can be used to address the problem of misconception and help students understand better. ;;;;;;;;;;;;;;;;;;;;;
1;2;virtual laboratory simulate a physical one;;;;;;;;;;;;;;;;;;;;;
1;3;authoring  (...) to create virtual (...) procedures;;;;;;;;;;;;;;;;;;;;;
1;4;perform the (...) procedures in a virtual environment;;;;;;;;;;;;;;;;;;;;;
2;5;co-located and remote collaboration;;;;;;;;;;;;;;;;;;;;;
2;6;simulator (...) task performed individually and collaboratively among a team;;;;;;;;;;;;;;;;;;;;;
2;7;collaboratively shared the (...) imaging data to the possible remote collaborator in VR;;;;;;;;;;;;;;;;;;;;;
2;8;interact with the (...) component in same shared space;;;;;;;;;;;;;;;;;;;;;
2;9;collaboratively design their (...) room through the virtual workspace;;;;;;;;;;;;;;;;;;;;;
2;10;incorporate other input modalities such as facial expression and eye gaze tracking to (...) social engagement and support collaboration awareness among users in collaborative environment;;;;;;;;;;;;;;;;;;;;;
2;11;collaboration of multiple user that work together in search for understanding, meaning, solution or product of the learning;;;;;;;;;;;;;;;;;;;;;
2;12;Users in the same session work collaboratively design an empty space into a new virtual world (...);;;;;;;;;;;;;;;;;;;;;
2;13;Knowledge and information transfer between users when exchanging roles;;;;;;;;;;;;;;;;;;;;;
2;14;remote collaborator to work together with the local user in AR using virtual replicas;;;;;;;;;;;;;;;;;;;;;
3;15;To represent the 3D nature of the interactions that occur;;;;;;;;;;;;;;;;;;;;;
3;16;allow the operator to feel like they are making contact with [...] and, as they run the virtual tool across its surface would be able to feel the surface features. ;;;;;;;;;;;;;;;;;;;;;
3;17;facilitate  a  better  operating  position,  such  as  a  finger  rest  stage and  height  adjustment  controls,  recreating  some  of  the  environmental  �physicality�;;;;;;;;;;;;;;;;;;;;;
3;18;3D  camera  tracks  the  operator�s    movements,  recording  (...) activity (...) [for] digital recreation of the work (...) so that the students� performance can be visualised and assessed;;;;;;;;;;;;;;;;;;;;;
3;19;the use of abstract modes of interaction to elicit real operative events in  the  simulation  environment (...)  for  example (...) the user would apply (...) the haptic arm, and  then click a button in order for [an event to occur] within the simulated environment;;;;;;;;;;;;;;;;;;;;;
3;20;Abstract (...) shapes [instead of realistic shapes];;;;;;;;;;;;;;;;;;;;;
3;21;[abstract shapes] which (...) contained  patterns and  [features] found in a real [scenario, for] (...)  an important concept to be developed without introducing the confounding effects of a realistic (...) shape.;;;;;;;;;;;;;;;;;;;;;
3;22;target based feedback. Here, the operator is presented with a 3D target area that they are instructed to (...);;;;;;;;;;;;;;;;;;;;;
3;23;capturing the motions of the (...) user (...) as the basis for comparison with an expert�s performance;;;;;;;;;;;;;;;;;;;;;
3;24;tutors (...) to compensate for shortcomings of the simulation;;;;;;;;;;;;;;;;;;;;;
3;25;relying on the simulator�s feedback and dispensing with the tutor�s presence;;;;;;;;;;;;;;;;;;;;;
4;26;augmented perception [by opacity of virtual students, for] teachers [to] (...) more uniformly spread their gaze [to engage students] than teachers with normal perception;;;;;;;;;;;;;;;;;;;;;
4;27;Participants navigated (...) [microscopic scale] and had to create (...) [local process] during an activity (...) experience (...) [local process] from a vantage point inside a [microscopic structure];;;;;;;;;;;;;;;;;;;;;
4;28;Immersive VR allows teachers to practice these skills in a controlled environment away from actual students.;;;;;;;;;;;;;;;;;;;;;
4;29;VR technology could expose [learners] (...) to a larger variety of (...) environments and experiences than what would be possible during a class lecture or practicum experience;;;;;;;;;;;;;;;;;;;;;
4;30;[students] they can practice specific, planned skills to mastery in a fully controlled environment;;;;;;;;;;;;;;;;;;;;;
4;31;practice many different scenarios, with varied outcomes, and repeat scenarios as often as needed under the supervision;;;;;;;;;;;;;;;;;;;;;
4;32;Coaching with feedback and demonstration in a (...) virtual reality lab using a trained interactor controlling an avatar [with specific personal characteristics] (...) [which] Participants attempted to instruct;;;;;;;;;;;;;;;;;;;;;
4;33;a virtual setting (...) with virtual avatars whose attributes were [specific personal characteristics] (...) Participants were taught (...) then interacted with a person trained in (...) puppeteering the avatars;;;;;;;;;;;;;;;;;;;;;
4;34;[address logistics] problems facing field placement supervisors who struggle to locate enough superior placements where (...) [trainees] can practice;;;;;;;;;;;;;;;;;;;;;
5;35;AR where a virtual trajectory was overlaid on a screen for trainees to trace using [hand tools];;;;;;;;;;;;;;;;;;;;;
5;36;overlay virtual information over box trainers or mannequins;;;;;;;;;;;;;;;;;;;;;
5;37;creation of virtual [humans] for communication skills training;;;;;;;;;;;;;;;;;;;;;
5;38;virtual markers can be superimposed over real-life mannequins and task trainers to guide procedure skills training;;;;;;;;;;;;;;;;;;;;;
5;39;practice (...) [topic techniques] skills;;;;;;;;;;;;;;;;;;;;;
6;40;learners to solve complex problems, by combining real-time evidence from the natural world with virtual information;;;;;;;;;;;;;;;;;;;;;
6;41;They employ built-in cameras, Global Positioning System (GPS) sensors, accelerometers, solid state compasses, and Internet access to utilise either position data (location-aware AR) or real-world images and/or objects as visual markers that launch a digital information overlay (vision-based AR), thus embedding real-world environments with dynamic, context-aware, and interactive digital content;;;;;;;;;;;;;;;;;;;;;
6;42;providing information on a specific object or location using visual markers;;;;;;;;;;;;;;;;;;;;;
6;43;shifting human mobility patterns (...) explore this media within educational contexts;;;;;;;;;;;;;;;;;;;;;
6;44;ARGBL (...) offers the ability to bring to life invisible, abstract, and complex concepts (...) AR can augment the physical world by computer-generated perceptual information and integrate immersive sensations that are perceived as natural parts of the real-world environment;;;;;;;;;;;;;;;;;;;;;
6;45;AR offers the opportunity to participate in games using real-world learning objects (e.g., maps, books, and tools);;;;;;;;;;;;;;;;;;;;;
6;46;Location-based ARGBL during a field trip to a science centre.;;;;;;;;;;;;;;;;;;;;;
6;47;Inquiry-based learning using a location-based AR game during a field trip;;;;;;;;;;;;;;;;;;;;;
6;48;Digital game-based learning and an AR educational book;;;;;;;;;;;;;;;;;;;;;
6;49;ARGBL in a naturalistic environment using AR to promote reading comprehension.;;;;;;;;;;;;;;;;;;;;;
6;50;Team-based inquiry-based learning in a problem-based explorative mode with AR motion-sensing learning technology.;;;;;;;;;;;;;;;;;;;;;
6;51;"A Concept Mapped AR Learning system (which used a concept map as its learning structure);";;;;;;;;;;;;;;;;;;;;;
6;52;Standard AR Learning system (which used a book as its learning structure).;;;;;;;;;;;;;;;;;;;;;
6;53;Location-based ARGBL during a field trip to a butterfly garden.;;;;;;;;;;;;;;;;;;;;;
6;54;Context-aware storytelling and science learning games.;;;;;;;;;;;;;;;;;;;;;
6;55;Interactive learning in an outdoor/indoor location using a mobile AR astronomy simulation software.;;;;;;;;;;;;;;;;;;;;;
6;56;Mobile game using multiple interaction forms (touch-screen interaction, accelerometer) and a combination of AR with non-AR mini-games.;;;;;;;;;;;;;;;;;;;;;
6;57;Inquiry-based learning through a manipulative AR system;;;;;;;;;;;;;;;;;;;;;
6;58;Digital game-based learning using an educational AR system based on situated learning theory to enhance library instruction.;;;;;;;;;;;;;;;;;;;;;
6;59;Computer-supported collaborative learning for physics through Play Project (LPP).;;;;;;;;;;;;;;;;;;;;;
6;60;Location-based ARGBL (...) using Smartphone GPS;;;;;;;;;;;;;;;;;;;;;
6;61;Inquiry-based experiments using marker-based AR to control, combine and interact with a 3D model of micro-particles.;;;;;;;;;;;;;;;;;;;;;
6;62;Forensic science mystery game played on mobile devices;;;;;;;;;;;;;;;;;;;;;
6;63;Location-based AR inquiry-based learning during a field trip;;;;;;;;;;;;;;;;;;;;;
6;64;Study of Renaissance art masterpieces through the presentation of their images and explanation of their relevant details with AR using Popcode or slides.;;;;;;;;;;;;;;;;;;;;;
6;65;Co-located collaborative games in the classroom using AR and multiple-mice technology to teach electrostatics;;;;;;;;;;;;;;;;;;;;;
6;66;AR-enhanced text books;;;;;;;;;;;;;;;;;;;;;
6;67;stimulates interaction through learners� body movements to increase physical exercise;;;;;;;;;;;;;;;;;;;;;
6;68;Ecosystems AR Learning System (EARLS) with (...) [AR textbooks] and (...) [exergames] sections;;;;;;;;;;;;;;;;;;;;;
7;69;utilized (...) digital badges to track student progress and achievement through an AR curriculum. ;;;;;;;;;;;;;;;;;;;;;
7;70;Badges could be shared and were utilized to create a collaborative community that enabled students to illustrate their progress to peers and instructors.;;;;;;;;;;;;;;;;;;;;;
7;71;In other words, immersive VR allows a user to learn how they would feel and respond (physiologically, tactfully, and procedurally) when interacting with virtual situations that the brain treats as real.;;;;;;;;;;;;;;;;;;;;;
8;72;VR can safely provide answers to inaccessible and intangible concepts that would otherwise be considered too dangerous or unethical to perform in real life;;;;;;;;;;;;;;;;;;;;;
8;73;repeatable system that produces objective measures of performance while providing real-time feedback to users;;;;;;;;;;;;;;;;;;;;;
8;74;full-room and team simulated robot-assisted (...) procedures in (...) education;;;;;;;;;;;;;;;;;;;;;
8;75;Skill Training/Highlighting - Google Glass implemented in art galleries.;;;;;;;;;;;;;;;;;;;;;
8;76;Team Building (...) students can collaboratively share their artwork through Google Maps, providing 360-panoramic views of their project ideas;;;;;;;;;;;;;;;;;;;;;
8;77;Engagement  - Panoramic VR video to enhance readers� experience HMD VR classrooms to encourage communication between students and teachers. ;;;;;;;;;;;;;;;;;;;;;
8;78;Convenience/Skill Training - 360-videos of each religion were shown with HMD VR, requiring users to identify each based on narrative and environmental cues.;;;;;;;;;;;;;;;;;;;;;
8;79;Skill Training - Report summarizes VR concepts in nursing, providing simulation design ideas that are supported by theoretical concepts.;;;;;;;;;;;;;;;;;;;;;
8;80;use VR (Google Cardboard) to analyze potential safety risks, prior to entering (...) situations;;;;;;;;;;;;;;;;;;;;;
8;81;imitate real training situations and compensate for lack of equipment;;;;;;;;;;;;;;;;;;;;;
8;82;performing a virtual interview on a virtual client;;;;;;;;;;;;;;;;;;;;;
8;83;performing a virtual interview on a virtual client [different paper];;;;;;;;;;;;;;;;;;;;;
8;84;Skill Training HMD VR for testing/training short-term memory of dyslexic users featuring environments with household objects, geometric shapes and virtual art galleries.;;;;;;;;;;;;;;;;;;;;;
8;85;Used HMD VR (...) to attention control training for the enhancement of self-regulatory skills;;;;;;;;;;;;;;;;;;;;;
8;86;VR (...) for training best-practice communication skills;;;;;;;;;;;;;;;;;;;;;
8;87;Skill Training/Suggestion - A curriculum featuring immersive VR to address influenza vaccine hesitancy was developed. User�s verbally spoke with vaccine-hesitant caregiver avatars (controlled by another user) with open-ended questioning, empathy and education without medical jargon.;;;;;;;;;;;;;;;;;;;;;
8;88;Highlighting - Google Glass to guide (...) by providing AR images of (...) in (...) [specific context] sites.;;;;;;;;;;;;;;;;;;;;;
8;89;Skill Training/Interactivity - VR to simulate myringotomy procedures;;;;;;;;;;;;;;;;;;;;;
8;90;Practice (...) tasks while in an adjustable environment.;;;;;;;;;;;;;;;;;;;;;
8;91;performed (...) tasks (...) on virtual patients;;;;;;;;;;;;;;;;;;;;;
8;92;Skill Training/Engagement Experiment: HMD VR to  create and manipulate canine skeletons;;;;;;;;;;;;;;;;;;;;;
8;93;Users pilot (...) within a simulated environment that resembles a real-world location;;;;;;;;;;;;;;;;;;;;;
8;94;to allow students perform various [technical subject] tasks;;;;;;;;;;;;;;;;;;;;;
8;95;Interactivity/Skill Training -  (...) for understanding of position and direction of celestial bodies;;;;;;;;;;;;;;;;;;;;;
8;96;Interactivity - (...) allowing astronomical images to be projected into planetariums and HMD VR.;;;;;;;;;;;;;;;;;;;;;
8;97;Skill Training/Highlighting - HMD AR was used to create training markers and provide� gamification strategies� in [content area].;;;;;;;;;;;;;;;;;;;;;
8;98;allows users to (...) [practice procedures] with Leap Motion and HMD;;;;;;;;;;;;;;;;;;;;;
8;99;Skill Training/Experiment - (...) allowed for 3D drawing and painting on a human model to create gear.;;;;;;;;;;;;;;;;;;;;;
8;100;VR Goggles, depicting a (...) environment, allowed users to perform tasks in response to a (...) [virtual event].;;;;;;;;;;;;;;;;;;;;;
8;101;Engagement - HMD VR (Google Cardboard) (...) users experience stages of the water cycle from the perspective of a water droplet.;;;;;;;;;;;;;;;;;;;;;
8;102;Convenience/Safety/Skill Training -  Driving setup (Oculus HMD and Logitech G27 Racing Wheel system) to enhance learning for road design. Users can test-drive their roads during development.;;;;;;;;;;;;;;;;;;;;;
8;103;construction [by team of experts] of 3D building information models for quantity surveying practice in immersive VR;;;;;;;;;;;;;;;;;;;;;
8;104;Immersive VR (...) to provide users with basic (...) [practice] lessons and rules before actual (...) [field tests] (...) by completion of checkpoints on a virtual (...) course;;;;;;;;;;;;;;;;;;;;;
8;105;Skill Training/Convenience - Students used VR workbench software to design analog and digital circuits, encouraging autonomous exploration.;;;;;;;;;;;;;;;;;;;;;
8;106;Team Building/Suggestion - Virtual Mobility: The UbiCamp Experience is a 3D immersive virtual environment that allows groups of users to visit iconic buildings, monuments and universities;;;;;;;;;;;;;;;;;;;;;
8;107;Systematic disassembly of a product;;;;;;;;;;;;;;;;;;;;;
8;108;Immersive VR workshops (...) to allow (...) students (...) interacting with virtual workbenches.;;;;;;;;;;;;;;;;;;;;;
8;109;Skill Training/Engagement - HMD VR (Oculus) and Leap Motion allowed users to disassemble and reassemble engines.;;;;;;;;;;;;;;;;;;;;;
8;110;HMD VR, depicting a lab environment, allowed users to operate (...) components.;;;;;;;;;;;;;;;;;;;;;
8;111;allow users to visit simulated places, which could be inaccessible or dangerous;;;;;;;;;;;;;;;;;;;;;
8;112;Skill Training - Proof of Concept: Details on the development of a crime scene simulation were provided, complete with virtual suspects who would run away if the user failed to maintain line of sight.;;;;;;;;;;;;;;;;;;;;;
8;113;Dynamic topographic data was digitally rendered onto a virtual �sandbox,� showing different types of terrain within the virtual environment. Users were able to interact with the terrain.;;;;;;;;;;;;;;;;;;;;;
8;114;Highlighting - VR was used to show real-time graphics of magnetic fields between objects.;;;;;;;;;;;;;;;;;;;;;
8;115;Highlighting Immersive VR (Google Glass) was used to determine water-level in a glass to achieve specific tones in physics (acoustics) education.;;;;;;;;;;;;;;;;;;;;;
8;116;Highlighting/Safety - Visionless Interfacing Exploration Wearable (VIEW) substitutes the vision sense with wearable haptic feedback, assisting individuals with recognizing obstacles and avoiding walls when navigating a space.;;;;;;;;;;;;;;;;;;;;;
8;117;reducing the difficulties and/or resources required to train the same task in the real world;;;;;;;;;;;;;;;;;;;;;
8;118;The practice of awareness skills necessary to reduce the probability of accidents occurring,;;;;;;;;;;;;;;;;;;;;;
