origin_id;origin_reference
0;Unspecified in the original survey.
1;Gilbert, J. K. (2004). Models and modelling: Routes to more authentic science education. International Journal of Science and Mathematics Education, 2(2), 115-130.
2;Jacober, E. C., & Tori, R. (2006). Game Wrench: Design of a user-centered Interactive Game Engine. In Anais do congresso SBGames, 1(1).
3;Barata, P. N. A., Filho, M. R., & Alves Nunes, M. V. (2015). Virtual reality applied to the study of the integration of transformers in substations of power systems. International journal of electrical engineering education, 52(3), 203-218.
4;Elvezio, C., Ling, F., Liu, J. S., & Feiner, S. (2018, October). Collaborative virtual reality for low-latency interaction. In The 31st Annual ACM Symposium on User Interface Software and Technology Adjunct Proceedings (pp. 179-181).
5;Paiva, P. V., Machado, L. S., Valen�a, A. M. G., Batista, T. V., & Moraes, R. M. (2018). SimCEC: a collaborative VR-based simulator for surgical teamwork education. Computers in Entertainment (CIE), 16(2), 1-26.
6;Hart, J. D., Piumsomboon, T., Lawrence, L., Lee, G. A., Smith, R. T., & Billinghurst, M. (2018, October). Emotion sharing and augmentation in cooperative virtual reality games. In Proceedings of the 2018 Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts (pp. 453-460).
7;Paiva, P. V., Machado, L. S., Valen�a, A. M. G., Batista, T. V., & Moraes, R. M. (2018). SimCEC: a collaborative VR-based simulator for surgical teamwork education. Computers in Entertainment (CIE), 16(2), 1-26.
8;Luxenburger, A., Prange, A., Moniri, M. M., & Sonntag, D. (2016, September). Medicalvr: Towards medical remote collaboration using virtual reality. In Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct (pp. 321-324).
9;Liu, Y., Zhang, Y., Zuo, S., & Fu, W. T. (2018, November). BoatAR: a multi-user augmented-reality platform for boat. In Proceedings of the 24th ACM Symposium on Virtual Reality Software and Technology (pp. 1-2).
10;Shin, J. G., Ng, G., & Saakes, D. (2018, February). Couples designing their living room together: A study with collaborative handheld augmented reality. In Proceedings of the 9th Augmented Human International Conference (pp. 1-9).
11;Wanis, I. A. (2019, August). A review on collaborative learning environment across virtual and augmented reality technology. In IOP Conference Series: Materials Science and Engineering (Vol. 551, No. 1, p. 012050). IOP Publishing.
12;Knispel, J., & Bullock, F. (2017). Collaborative VR painting in web browsers. In SIGGRAPH Asia 2017 VR Showcase (pp. 1-2).
13;Elvezio, C., Sukan, M., Oda, O., Feiner, S., & Tversky, B. (2017). Remote collaboration in AR and VR using virtual replicas. In ACM SIGGRAPH 2017 VR Village (pp. 1-2).
14;Bailenson, J. N., Yee, N., Blascovich, J., Beall, A. C., Lundblad, N., & Jin, M. (2008). The use of immersive virtual reality in the learning sciences: Digital transformations of teachers, students, and social context. Journal of the Learning Sciences, 17, 102-141.
15;Mikropoulos, T. A., Katsikis, A., Nikolou, E., & Tsakalis, P. (2003). Virtual environments in biology teaching. Journal of Biological Education, 37, 176-181.
16;Judge, S., Bobzien, J., Maydosz, A., Gear, S., & Katsioloudis, P. (2013). The use of visual-based simulated environments in teacher preparation. Journal of Education and Training Studies, 1, 88-97.
17;Christensen, R., Tyler-Wood, T., Knezek, G., and Gibson, D. (2011). SimSchool: An online dynamic simulator for enhancing teacher preparation, International Journal of Learning Technology, 6, 201�220.
18;Garland, K. V., Vasquez, E., & Pearl, C. (2012). Efficacy of individualized clinical coaching in a virtual reality classroom for increasing teachers� fidelity of implementation of discrete trial teaching. Education and Training in Autism and Developmental Disabilities, 502-515.
19;Franklin, T. & Annetta, L. (2011). PREFACE Special Issue: Digital games and  simulations in teacher preparation. Journal of Technology and Teacher Education, 19, 239-242. Chesapeake, VA: Society for Information Technology &  Teacher Education.
20;Tokuyasu, T., Okamura, W., Kusano, T., Inomata, M., Shiraishi, N., & Kitanou, S. (2014, November). Training system for endoscopic surgery by using augmented reality and forceps control devices. In 2014 Ninth International Conference on Broadband and Wireless Computing, Communication and Applications (pp. 541-544). IEEE.
21;Botden, S. M., Berlage, J. T., Schijven, M. P., & Jakimowicz, J. J. (2008). Face validity study of the ProMIS augmented reality laparoscopic suturing simulator. Surgical technology international, 17, 26-32.
22;Fleming M, Olsen D, Stathes H, Boteler L, Grossberg P, Pfeifer J, et al. Virtual Reality Skills Training for Health Care Professionals in Alcohol Screening and Brief Intervention. Journal of the American Board of Family Medicine. 2009.
23;Real FJ, DeBlasio D, Beck AF, Ollberding NJ, Davis D, Cruse B, et al. A Virtual Reality Curriculum for Pediatric Residents Decreases Rates of Influenza Vaccine Refusal. Academic Pediatrics. 2017.
24;Yeo, C. T., Ungi, T., Leung, R., Moult, E., Sargent, D., McGraw, R., & Fichtinger, G. (2018, March). Augmented reality assistance in training needle insertions of different levels of difficulty. In Medical Imaging 2018: Image-Guided Procedures, Robotic Interventions, and Modeling (Vol. 10576, p. 1057614). International Society for Optics and Photonics.
25;Tobar-Mu�oz, H., Baldiris, S., & Fabregat, R. (2017). Augmented Reality game-based learning: Enriching students� experience during reading comprehension activities. Journal of Educational Computing Research, 1-36.
26;Chiang, T.-H.-C., Yang, S.-J.-H. & Hwang, G.-J. (2014). An Augmented Reality-based Mobile Learning System to Improve Students� Learning Achievements and Motivations in Natural Science Inquiry Activities. Educational Technology & Society, 17(4), 352-365.
27;Dunleavy, M., Dede, C., & Mitchell, R. (2009). Affordances and limitations of immersive participatory augmented reality simulations for teaching and learning. Journal of Science Education and Technology, 18(1), 7- 22.
28;Zhang, J., Sung, Y.-T., Hou, H.-T. & Chang, K.-E. (2014). The development and evaluation of an augmented reality-based armillary sphere for astronomical observation instruction. Computers & Education, 73(2), 178-188.
29;Alak�rpp�, I., Jaakkola, E., V�yrynen, J., & H�kkil�, J. (2017). Using nature elements in mobile AR for education with children. In Proceedings of the 19th International Conference on Human-Computer Interaction with Mobile Devices and Services (MobileHCI �17). Article 41. ACM, New York, NY, USA.
30;Sommerauer, P., & M�ller, O. (2014). Augmented reality in informal learning environments: a field experiment in a mathematics exhibition. Computers & Education, 79, 59-68.
31;Colley, A., Thebault-Spieker, J., Lin, A. Y., Degraen, D., Fischman, B., H�kkil�, J., ... & Sch�ning, J. (2017, May). The geography of Pok�mon GO: beneficial and problematic effects on places and movement. In Proceedings of the 2017 CHI conference on human factors in computing systems (pp. 1179-1192).
32;Bacca Acosta, J. L., Baldiris Navarro, S. M., Fabregat Gesa, R., & Graf, S. (2014). Augmented reality trends in education: a systematic review of research and applications. Journal of Educational Technology and Society, 2014, vol. 17, n�m. 4, p. 133-149.
33;Atwood-Blaine, D., & Huffman, D. (2017). Mobile gaming and student interactions in a science center: the future of gaming in science education. International journal of science and mathematics education, 15(1), 45-65.
34;Kamarainen, A. M., Metcalf, S., Grotzer, T., Browne, A., Mazzuca, D., Tutwiler, M. S., & Dede, C. (2013). EcoMOBILE: Integrating augmented reality and probeware with environmental education field trips. Computers & Education, 68, 545-556.
35;Hung, Y. H., Chen, C. H., & Huang, S. W. (2017). Applying augmented reality to enhance learning: a study of different teaching materials. Journal of Computer Assisted Learning, 33(3), 252-266.
36;Cai, S., Chiang, F. K., Sun, Y., Lin, C., & Lee, J. J. (2017). Applications of augmented reality-based natural interactive learning in magnetic field instruction. Interactive Learning Environments, 25(6), 778-791.
37;Chen, C. H., Chou, Y. Y., & Huang, C. Y. (2016). An augmented-reality-based concept map to support mobile learning for science. The Asia-Pacific Education Researcher, 25(4), 567-578.
38;Hwang, G. J., Wu, P. H., Chen, C. C., & Tu, N. T. (2016). Effects of an augmented reality-based educational game on students' learning achievements and attitudes in real-world observations. Interactive Learning Environments, 24(8), 1895-1906.
39;Laine, T. H., Nygren, E., Dirin, A., & Suk, H. J. (2016). Science Spots AR: a platform for science learning games with augmented reality. Educational Technology Research and Development, 64(3), 507-531.
40;Furi�, D., Gonz�lez-Gancedo, S., Juan, M. C., Segu�, I., & Rando, N. (2013). Evaluation of learning outcomes using an educational iPhone game vs. traditional game. Computers & Education, 64, 1-23.
41;Hsiao, H. S., Chang, C. S., Lin, C. Y., & Wang, Y. Z. (2016). Weather observers: a manipulative augmented reality system for weather simulations at home, in the classroom, and at a museum. Interactive Learning Environments, 24(1), 205-223.
42;Chen, C. M., & Tsai, Y. N. (2012). Interactive augmented reality system for enhancing library instruction in elementary schools. Computers & Education, 59(2), 638-652.
43;Enyedy, N., Danish, J. A., Delacruz, G., & Kumar, M. (2012). Learning physics through play in an augmented reality environment. International journal of computer-supported collaborative learning, 7(3), 347-378.
44;Ruiz-Ariza, A., Casuso, R. A., Suarez-Manzano, S., & Mart�nez-L�pez, E. J. (2018). Effect of augmented reality game Pok�mon GO on cognitive performance and emotional intelligence in adolescent young. Computers & Education, 116, 49-63.
45;Cai, S., Wang, X., & Chiang, F. K. (2014). A case study of Augmented Reality simulation system application in a chemistry course. Computers in human behavior, 37, 31-40.
46;Bressler, D. M., & Bodzin, A. M. (2013). A mixed methods assessment of students' flow experiences during a mobile augmented reality science game. Journal of computer assisted learning, 29(6), 505-517.
47;Di Serio, �., Ib��ez, M. B., & Kloos, C. D. (2013). Impact of an augmented reality system on students' motivation for a visual art course. Computers & Education, 68, 586-596.
48;Echeverr�a, A., Am�stica, M., Gil, F., Nussbaum, M., Barrios, E., & Leclerc, S. (2012). Exploring different technological platforms for supporting co-located collaborative games in the classroom. Computers in Human Behavior, 28(4), 1170-1177.
49;Hsiao, K. F., Chen, N. S., & Huang, S. Y. (2012). Learning while exercising for science education in augmented reality among adolescents. Interactive learning environments, 20(4), 331-349.
50;Kilteni, K., Maselli, A., Kording, K. P., and Slater, M. (2015). Over my fake body: body ownership illusions for studying the multisensory basis of own-body perception. Front. Hum. Neurosci.
