strategy_id;strategy_name;;;;;;;;;;;;;;;;;;;;;;;;
1;teacher professional development;;;;;;;;;;;;;;;;;;;;;;;;
2;diversity, depth, and use of resources;;;;;;;;;;;;;;;;;;;;;;;;
3;meaningful transfer;;;;;;;;;;;;;;;;;;;;;;;;
4;metacognitive skills;;;;;;;;;;;;;;;;;;;;;;;;
5;scaffold personalized learning;;;;;;;;;;;;;;;;;;;;;;;;
6;after-action review;;;;;;;;;;;;;;;;;;;;;;;;
7;assessment from analytics;;;;;;;;;;;;;;;;;;;;;;;;
8;formative assessment;;;;;;;;;;;;;;;;;;;;;;;;
9;narrative mapping;;;;;;;;;;;;;;;;;;;;;;;;
10;access unfeasible situations;;;;;;;;;;;;;;;;;;;;;;;;
11;authentic learning;;;;;;;;;;;;;;;;;;;;;;;;
12;collaborative learning;;;;;;;;;;;;;;;;;;;;;;;;
13;expositional;;;;;;;;;;;;;;;;;;;;;;;;
14;interactive visualization;;;;;;;;;;;;;;;;;;;;;;;;
15;learner-directed;;;;;;;;;;;;;;;;;;;;;;;;
16;metacognition;;;;;;;;;;;;;;;;;;;;;;;;
17;narrative;;;;;;;;;;;;;;;;;;;;;;;;
18;practice;;;;;;;;;;;;;;;;;;;;;;;;
19;providing perspectives;;;;;;;;;;;;;;;;;;;;;;;;
20;scaffolding;;;;;;;;;;;;;;;;;;;;;;;;
21;serious play strategies;;;;;;;;;;;;;;;;;;;;;;;;
22;bounded adoption strategy;;;;;;;;;;;;;;;;;;;;;;;;
23;environment design;;;;;;;;;;;;;;;;;;;;;;;;
24;instructional design;;;;;;;;;;;;;;;;;;;;;;;;
25;inquiry-based;;;;;;;;;;;;;;;;;;;;;;;;
26;motivational;;;;;;;;;;;;;;;;;;;;;;;;
27;situated learning;;;;;;;;;;;;;;;;;;;;;;;;
28;social constructivism;;;;;;;;;;;;;;;;;;;;;;;;
29;combining real and virtual;;;;;;;;;;;;;;;;;;;;;;;;
30;hyper-realistic control of the environment;;;;;;;;;;;;;;;;;;;;;;;;
31;presence;;;;;;;;;;;;;;;;;;;;;;;;
32;active learning theories;;;;;;;;;;;;;;;;;;;;;;;;
33;behaviorist theories;;;;;;;;;;;;;;;;;;;;;;;;
34;constructivist theories;;;;;;;;;;;;;;;;;;;;;;;;
35;contextual theories;;;;;;;;;;;;;;;;;;;;;;;;
36;customization theories;;;;;;;;;;;;;;;;;;;;;;;;
37;engagement theories;;;;;;;;;;;;;;;;;;;;;;;;
38;multimedia learning theories;;;;;;;;;;;;;;;;;;;;;;;;
39;networked theories;;;;;;;;;;;;;;;;;;;;;;;;
40;socio-emotional learning;;;;;;;;;;;;;;;;;;;;;;;;
